NAME,RA,DECL,LIT_SPT_NUM,LIT_SPT_NUM,LIT_METAL_NUM,CAT_PMRA,CAT_PMDEC,CAT_PMRA_E,CAT_PMDEC_E,CAT_PMTOT,CAT_PMTOT_E,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,GAIA_G,GAIA_B,GAIA_R,GAIA_Ge,GAIA_Be,GAIA_Re,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_Ge,PANSTARRS_R,PANSTARRS_Re,PANSTARRS_I,PANSTARRS_Ie,PANSTARRS_Z,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye
GJ 1111,127.449899,26.77307759,7.0,7,-1,-1.2044,-0.665,0.0032,0.0033,1.37579226629604,0.00322364120692097,8.63,0.029,8.073,0.02,12.1685,15.11591,10.7195,0.04162824758,0.0851022068,0.03909304661,,,,,,,15.46875,0.004097,13.86654,0.01103736,12.7707,,,,9.79,0.0
GJ 660.1B,258.2133853,-5.123730413,7.0,7,-1,0.09652,-0.7716,0.0044,0.0042,0.77761344535701,0.00420315350304029,9.018,0.017,8.757,0.011,17.35321,19.6475802,15.728364,0.07184353838,0.5085631194,0.1481550514,17.2553,0.0683,,,,,22.180012,0.06076,20.35921,0.137156,19.5625,0.013173,,,,
Gl 644 C,253.8932349,-8.398742425,7.0,7,-1,-0.82315,-0.89152,0.003,0.0031,1.2134182431874,0.00305438770673445,9.04,0.02,8.804,0.016,13.81432,17.066027,12.3382,0.03362618343,0.1044062193,0.03789414109,10.3326,5E-04,,,10.709,8E-04,17.138,0.006,15.6875,0.004032,13.246000000000000,0.0033,12.301000000000000,0.011,9.7251,0.0044
2MASS J18353790+3259545,278.907389,32.99442558,8.0,8,-1,-0.08993,-0.76494,0.0023,0.0036,0.770208159201134,0.00358544760434793,9.146,0.018,8.893,0.016,14.85199,18.4692597,13.31974,0.04213385497,0.1679403975,0.0538731715,10.66497231,6.422650185E-04,,,,,17.890625,0.028366,16.93237,0.01546546,14.4315,0.0015,,,,
LHS 2090,135.0954822,21.83173606,7.0,7,-1,-0.60856,-0.708,0.0053,0.0061,0.933600167951999,0.00577364077214384,9.475,0.014,9.227,0.011,13.4141,16.364018,11.9656,0.03787187408,0.1257755995,0.05225577461,10.48203564,5.800434737E-04,,,,,16.71875,0.006077,15.10716,0.0103118,13.796,0.0422,,,,
Teegardens,43.27007081,16.8640386,8.0,8,-1,,,,,,,9.751,0.016,9.377,0.012,,,,,,,17.89661026,0.04393796995,,,,,,,,,11.4553,0.0955,,,8.4401,0.001
V* V492 Lyr,280.841471,40.67518172,7.0,7,-1,-0.13422,0.67101,0.0026,0.0026,0.684302147081244,0.0026,10.607,0.042,10.404,0.037,15.40931,18.5088942,13.93762,0.0412021635,0.1833936507,0.04958975634,11.31755638,8.428790607E-04,10.688,0.019,10.308,0.016,18.992565000000000,0.0281,17.15778,0.013947,14.8402,0.0019,13.586500000000000,0.0049,12.2708,0.0105
LHS 2924,217.1781893,33.17409029,9.0,9,-1,-0.36402,-0.77261,0.0031,0.002,0.85407070696752,0.00224033945591672,10.955,0.024,10.674,0.02,16.610171,19.8262291,15.077758,0.03618654686,0.2576699544,0.05194062494,11.90622711,0.001097645145,,,,,20.656115000000000,0.012501,18.166716,0.004789,16.1836,0.0079,14.492188000000000,0.004055,13.199,0.0011
SDSS J141624.08+134826.7,214.1006429,13.80764801,17.0,17,-1,0.0495,0.132,0.005,0.0053,0.140976061797739,0.00526393779369498,11.345,0.012,10.985,0.008,18.3293759,21.56513779,16.69589,0.08117555635,0.6308831416,0.1342392779,13.066,0.001,12.503,0.001,12.107,0.002,23.05299,0.079511,19.969252,0.010024,18.346700000000000,0.0076,15.717189000000000,0.001178,14.5797,0.0028
LSR J1826+3014,276.5342137,30.23553215,10.0,10,-1,-2.2893,-0.67531,0.0038,0.0072,2.38682594382163,0.00417539151522238,11.401,0.017,11.053,0.014,,,,,,,11.59105778,9.253622848E-04,,,,,,,18.0625,0.003345,,,,,,
2MASS J23470713+0219127,356.7789303,2.318339948,7.0,7,-1,-0.20222,-0.39933,0.0047,0.0043,0.447612977135382,0.00438460486006098,12.693,0.012,12.444,0.009,17.202273,19.7099299,15.797729,0.05570174406,0.363566045,0.1009495847,13.573,0.002,13.141,0.002,12.798,0.002,20.055597000000000,0.006752,18.513556,0.003071,16.325598,0.002053,15.300161,0.001326,14.301451,0.002289
